"id","name","type","parent_id"
"141904","Chancelaria","3","1419"
"141807","Madalena","3","1418"
"141701","Alcaravela","3","1417"
"100107","Coz","3","1001"
"101609","Pedreiras","3","1016"
"141812","Tomar (São João Baptista)","3","1418"
"101103","Valado dos Frades","3","1011"
"141815","Serra","3","1418"
"141702","Santiago de Montalegre","3","1417"
"141301","Aboboreira","3","1413"
"100119","Montes","3","1001"
"141811","Santa Maria dos Olivais","3","1418"
"101602","Alqueidão da Serra","3","1016"
"141806","Junceira","3","1418"
"140119","Carvalhal","3","1401"
"141306","Mação","3","1413"
"141902","Assentiz","3","1419"
"141305","Envendos","3","1413"
"101611","Porto de Mós (São João Baptista)","3","1016"
"130128","Rebordelo","3","1301"
"031224","Lousado","3","0312"
"131628","Vila do Conde","3","1316"
"131431","Sequeiró","3","1314"
"041012","Santa Comba de Vilariça","3","0410"
"130305","Friande","3","1303"
"031402","Caldas de Vizela (São João)","3","0314"
"131432","Vilarinho","3","1314"
"031406","Vizela (Santo Adrião)","3","0314"
"130318","Regilde","3","1303"
"130308","Lagares","3","1303"
"031235","Ribeirão","3","0312"
"170108","Pegarinhos","3","1701"
"030502","Arnóia","3","0305"
"041018","Vilarinho das Azenhas","3","0410"
"131605","Bagunte","3","1316"
"030519","Basto (Santa Tecla)","3","0305"
"040109","Pombal","3","0401"
"031205","Bente","3","0312"
"130332","Vila Fria","3","1303"
"030706","Arnozela","3","0307"
"131310","Póvoa de Varzim","3","1313"
"041015","Vale Frechoso","3","0410"
"030721","Queimadela","3","0307"
"040507","Carrapatas","3","0405"
"171206","Canaveses","3","1712"
"030609","Gandra","3","0306"
"030328","Nogueira","3","0303"
"030711","Felgueiras","3","0307"
"030713","Freitas","3","0307"
"030827","Longos","3","0308"
"030246","Mariz","3","0302"
"030411","Painzela","3","0304"
"030323","Lomar","3","0303"
"030214","Barcelos","3","0302"
"030275","Vila Frescainha (São Pedro)","3","0302"
"030230","Encourados","3","0302"
"040521","Morais","3","0405"
"171230","Veiga de Lila","3","1712"
"030265","Rio Covo (Santa Eugénia)","3","0302"
"030314","Ferreiros","3","0303"
"030843","Briteiros (Santa Leocádia)","3","0308"
"030822","Gondomar","3","0308"
"030260","Perelhal","3","0302"
"030354","Sequeira","3","0303"
"030841","Briteiros (Salvador)","3","0308"
"030316","Fraião","3","0303"
"030814","Donim","3","0308"
"030715","Gontim","3","0307"
"030606","Fão","3","0306"
"030605","Esposende","3","0306"
"030734","Várzea Cova","3","0307"
"170905","Ribeira de Pena (Salvador)","3","1709"
"030732","Serafão","3","0307"
"030273","Vila Frescainha (São Martinho)","3","0302"
"171208","Curros","3","1712"
"040711","Carvalhais","3","0407"
"030922","Santo Emilião","3","0309"
"171301","Afonsim","3","1713"
"030702","Agrela","3","0307"
"020512","Santa Vitória","3","0205"
"020102","Ervidel","3","0201"
"020507","Quintos","3","0205"
"021307","Vila Verde de Ficalho","3","0213"
"021305","Serpa (Santa Maria)","3","0213"
"020515","Beja (São João Baptista)","3","0205"
"021304","Serpa (Salvador)","3","0213"
"020509","Beja (Salvador)","3","0205"
"150906","Santiago do Cacém","3","1509"
"021306","Vale de Vargo","3","0213"
"020505","Mombeja","3","0205"
"020513","Beja (Santiago Maior)","3","0205"
"150904","Ermidas-Sado","3","1509"
"150901","Abela","3","1509"
"021402","Selmes","3","0214"
